TicketID,Sprint,Title,CurrentStatus,BlockerType,ResolutionState,OwnerKey,Severity,LastUpdated,RiskReason
PLAT-1801,june-platform,Update account settings empty state,done,,closed,qa-infra,P3,2026-06-02T09:15:00Z,
PLAT-1802,june-platform,Normalize retry header naming,done,,closed,frontend-platform,P3,2026-06-03T10:15:00Z,
PLAT-1803,may-platform,Document search pagination behavior,done,,closed,release-ops,P3,2026-06-01T11:15:00Z,
PLAT-1804,june-platform,Add mobile breakpoint for audit table,done,,closed,product-ops,P3,2026-06-02T12:15:00Z,
PLAT-1805,june-platform,Wire telemetry sample rate config,in-progress,,open,db-reliability,P3,2026-06-03T13:15:00Z,
PLAT-1806,june-platform,Clean up deprecated metrics labels,done,,closed,backend-platform,P3,2026-06-01T14:15:00Z,
PLAT-1807,may-platform,Add tooltip for release filter,done,,closed,qa-infra,P3,2026-06-02T15:15:00Z,
PLAT-1808,june-platform,Update stale schema fixture,done,,closed,frontend-platform,P3,2026-06-03T16:15:00Z,
PLAT-1809,june-platform,Improve queue drain logging,done,,closed,release-ops,P3,2026-06-01T17:15:00Z,
PLAT-1810,june-platform,Refresh dashboard loading state,in-progress,,open,product-ops,P3,2026-06-02T08:15:00Z,
PLAT-1811,may-platform,Update account settings empty state,done,,closed,db-reliability,P3,2026-06-03T09:15:00Z,
PLAT-1812,june-platform,Normalize retry header naming,done,,closed,backend-platform,P3,2026-06-01T10:15:00Z,
PLAT-1813,june-platform,Document search pagination behavior,done,,closed,qa-infra,P3,2026-06-02T11:15:00Z,
PLAT-1814,june-platform,Add mobile breakpoint for audit table,done,dependency-signoff,resolved,backend-platform,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1815,june-platform,Wire telemetry sample rate config,in-progress,,open,release-ops,P3,2026-06-01T13:15:00Z,
PLAT-1816,june-platform,Clean up deprecated metrics labels,done,,closed,product-ops,P3,2026-06-02T14:15:00Z,
PLAT-1817,june-platform,Add tooltip for release filter,done,,closed,db-reliability,P3,2026-06-03T15:15:00Z,
PLAT-1818,june-platform,Update stale schema fixture,done,,closed,backend-platform,P3,2026-06-01T16:15:00Z,
PLAT-1819,june-platform,Improve queue drain logging,done,,closed,qa-infra,P3,2026-06-02T17:15:00Z,
PLAT-1820,june-platform,Refresh dashboard loading state,in-progress,,open,frontend-platform,P3,2026-06-03T08:15:00Z,
PLAT-1821,june-platform,Update account settings empty state,done,,closed,release-ops,P3,2026-06-01T09:15:00Z,
PLAT-1822,june-platform,Normalize retry header naming,done,qa-environment,resolved,qa-infra,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1823,june-platform,Document search pagination behavior,done,,closed,db-reliability,P3,2026-06-03T11:15:00Z,
PLAT-1824,june-platform,Add mobile breakpoint for audit table,done,,closed,backend-platform,P3,2026-06-01T12:15:00Z,
PLAT-1825,june-platform,Wire telemetry sample rate config,in-progress,,open,qa-infra,P3,2026-06-02T13:15:00Z,
PLAT-1826,june-platform,Clean up deprecated metrics labels,done,,closed,frontend-platform,P3,2026-06-03T14:15:00Z,
PLAT-1827,june-platform,Add tooltip for release filter,done,,closed,release-ops,P3,2026-06-01T15:15:00Z,
PLAT-1828,june-platform,Update stale schema fixture,done,,closed,product-ops,P3,2026-06-02T16:15:00Z,
PLAT-1829,june-platform,Improve queue drain logging,done,,closed,db-reliability,P3,2026-06-03T17:15:00Z,
PLAT-1830,june-platform,Refresh dashboard loading state,in-progress,,open,backend-platform,P3,2026-06-01T08:15:00Z,
PLAT-1831,june-platform,Update account settings empty state,done,,closed,qa-infra,P3,2026-06-02T09:15:00Z,
PLAT-1832,june-platform,Normalize retry header naming,done,,closed,frontend-platform,P3,2026-06-03T10:15:00Z,
PLAT-1833,june-platform,Document search pagination behavior,done,,closed,release-ops,P3,2026-06-01T11:15:00Z,
PLAT-1834,june-platform,Add mobile breakpoint for audit table,done,,closed,product-ops,P3,2026-06-02T12:15:00Z,
PLAT-1835,june-platform,Wire telemetry sample rate config,done,security-copy,resolved,security-review,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1836,june-platform,Clean up deprecated metrics labels,done,,closed,backend-platform,P3,2026-06-01T14:15:00Z,
PLAT-1837,june-platform,Add tooltip for release filter,done,,closed,qa-infra,P3,2026-06-02T15:15:00Z,
PLAT-1838,june-platform,Update stale schema fixture,done,,closed,frontend-platform,P3,2026-06-03T16:15:00Z,
PLAT-1839,june-platform,Improve queue drain logging,done,,closed,release-ops,P3,2026-06-01T17:15:00Z,
PLAT-1840,june-platform,Refresh dashboard loading state,in-progress,,open,product-ops,P3,2026-06-02T08:15:00Z,
PLAT-1841,june-platform,Update account settings empty state,done,,closed,db-reliability,P3,2026-06-03T09:15:00Z,
PLAT-1842,june-platform,Finalize dependency API contract for fulfillment handoff,blocked,dependency-signoff,open,backend-platform,P1,2026-06-02T16:30:00Z,Partner API contract sign-off still pending
PLAT-1843,june-platform,Document search pagination behavior,done,,closed,qa-infra,P3,2026-06-02T11:15:00Z,
PLAT-1844,june-platform,Add mobile breakpoint for audit table,done,,closed,frontend-platform,P3,2026-06-03T12:15:00Z,
PLAT-1845,june-platform,Wire telemetry sample rate config,in-progress,,open,release-ops,P3,2026-06-01T13:15:00Z,
PLAT-1846,june-platform,Clean up deprecated metrics labels,done,,closed,product-ops,P3,2026-06-02T14:15:00Z,
PLAT-1847,june-platform,Add tooltip for release filter,done,,closed,db-reliability,P3,2026-06-03T15:15:00Z,
PLAT-1848,june-platform,Update stale schema fixture,done,,closed,backend-platform,P3,2026-06-01T16:15:00Z,
PLAT-1849,june-platform,Improve queue drain logging,done,,closed,qa-infra,P3,2026-06-02T17:15:00Z,
PLAT-1850,june-platform,Refresh dashboard loading state,in-progress,,open,frontend-platform,P3,2026-06-03T08:15:00Z,
PLAT-1851,june-platform,Update account settings empty state,done,,closed,release-ops,P3,2026-06-01T09:15:00Z,
PLAT-1852,june-platform,Normalize retry header naming,done,,closed,product-ops,P3,2026-06-02T10:15:00Z,
PLAT-1853,june-platform,Document search pagination behavior,done,,closed,db-reliability,P3,2026-06-03T11:15:00Z,
PLAT-1854,june-platform,Add mobile breakpoint for audit table,done,,closed,backend-platform,P3,2026-06-01T12:15:00Z,
PLAT-1855,june-platform,Wire telemetry sample rate config,in-progress,,open,qa-infra,P3,2026-06-02T13:15:00Z,
PLAT-1856,june-platform,Clean up deprecated metrics labels,done,,closed,frontend-platform,P3,2026-06-03T14:15:00Z,
PLAT-1857,june-platform,Add tooltip for release filter,done,,closed,release-ops,P3,2026-06-01T15:15:00Z,
PLAT-1858,june-platform,Update stale schema fixture,done,legal-review,resolved,privacy-legal,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1859,june-platform,Improve queue drain logging,done,,closed,db-reliability,P3,2026-06-03T17:15:00Z,
PLAT-1860,june-platform,Refresh dashboard loading state,in-progress,,open,backend-platform,P3,2026-06-01T08:15:00Z,
PLAT-1861,june-platform,Update account settings empty state,done,,closed,qa-infra,P3,2026-06-02T09:15:00Z,
PLAT-1862,june-platform,Normalize retry header naming,done,,closed,frontend-platform,P3,2026-06-03T10:15:00Z,
PLAT-1863,june-platform,Document search pagination behavior,done,,closed,release-ops,P3,2026-06-01T11:15:00Z,
PLAT-1864,june-platform,Add mobile breakpoint for audit table,done,,closed,product-ops,P3,2026-06-02T12:15:00Z,
PLAT-1865,june-platform,Wire telemetry sample rate config,in-progress,,open,db-reliability,P3,2026-06-03T13:15:00Z,
PLAT-1866,june-platform,Clean up deprecated metrics labels,done,,closed,backend-platform,P3,2026-06-01T14:15:00Z,
PLAT-1867,june-platform,Add tooltip for release filter,done,,closed,qa-infra,P3,2026-06-02T15:15:00Z,
PLAT-1868,june-platform,Update stale schema fixture,done,,closed,frontend-platform,P3,2026-06-03T16:15:00Z,
PLAT-1869,june-platform,Improve queue drain logging,done,,closed,release-ops,P3,2026-06-01T17:15:00Z,
PLAT-1870,june-platform,Refresh dashboard loading state,in-progress,,open,product-ops,P3,2026-06-02T08:15:00Z,
PLAT-1871,june-platform,Update account settings empty state,done,,closed,db-reliability,P3,2026-06-03T09:15:00Z,
PLAT-1872,june-platform,Normalize retry header naming,done,,closed,backend-platform,P3,2026-06-01T10:15:00Z,
PLAT-1873,june-platform,Document search pagination behavior,done,,closed,qa-infra,P3,2026-06-02T11:15:00Z,
PLAT-1874,june-platform,Add mobile breakpoint for audit table,done,,closed,frontend-platform,P3,2026-06-03T12:15:00Z,
PLAT-1875,june-platform,Wire telemetry sample rate config,in-progress,,open,release-ops,P3,2026-06-01T13:15:00Z,
PLAT-1876,june-platform,Clean up deprecated metrics labels,done,,closed,product-ops,P3,2026-06-02T14:15:00Z,
PLAT-1877,june-platform,Restore QA replay environment for platform smoke tests,blocked,qa-environment,open,qa-infra,P1,2026-06-02T16:30:00Z,Shared QA replay environment unavailable
PLAT-1878,june-platform,Update stale schema fixture,done,,closed,backend-platform,P3,2026-06-01T16:15:00Z,
PLAT-1879,june-platform,Improve queue drain logging,done,,closed,qa-infra,P3,2026-06-02T17:15:00Z,
PLAT-1880,june-platform,Refresh dashboard loading state,in-progress,,open,frontend-platform,P3,2026-06-03T08:15:00Z,
PLAT-1881,june-platform,Update account settings empty state,done,,closed,release-ops,P3,2026-06-01T09:15:00Z,
PLAT-1882,june-platform,Normalize retry header naming,done,,closed,product-ops,P3,2026-06-02T10:15:00Z,
PLAT-1883,june-platform,Document search pagination behavior,done,,closed,db-reliability,P3,2026-06-03T11:15:00Z,
PLAT-1884,june-platform,Add mobile breakpoint for audit table,done,,closed,backend-platform,P3,2026-06-01T12:15:00Z,
PLAT-1885,june-platform,Wire telemetry sample rate config,in-progress,,open,qa-infra,P3,2026-06-02T13:15:00Z,
PLAT-1886,june-platform,Clean up deprecated metrics labels,done,,closed,frontend-platform,P3,2026-06-03T14:15:00Z,
PLAT-1887,june-platform,Add tooltip for release filter,done,,closed,release-ops,P3,2026-06-01T15:15:00Z,
PLAT-1888,june-platform,Update stale schema fixture,done,,closed,product-ops,P3,2026-06-02T16:15:00Z,
PLAT-1889,june-platform,Improve queue drain logging,done,,closed,db-reliability,P3,2026-06-03T17:15:00Z,
PLAT-1890,june-platform,Refresh dashboard loading state,in-progress,,open,backend-platform,P3,2026-06-01T08:15:00Z,
PLAT-1891,june-platform,Update account settings empty state,done,,closed,qa-infra,P3,2026-06-02T09:15:00Z,
PLAT-1892,june-platform,Normalize retry header naming,done,,closed,frontend-platform,P3,2026-06-03T10:15:00Z,
PLAT-1893,june-platform,Document search pagination behavior,done,,closed,release-ops,P3,2026-06-01T11:15:00Z,
PLAT-1894,june-platform,Add mobile breakpoint for audit table,done,failing-test,resolved,db-reliability,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1895,june-platform,Wire telemetry sample rate config,in-progress,,open,db-reliability,P3,2026-06-03T13:15:00Z,
PLAT-1896,june-platform,Clean up deprecated metrics labels,done,,closed,backend-platform,P3,2026-06-01T14:15:00Z,
PLAT-1897,june-platform,Add tooltip for release filter,done,,closed,qa-infra,P3,2026-06-02T15:15:00Z,
PLAT-1898,june-platform,Update stale schema fixture,done,,closed,frontend-platform,P3,2026-06-03T16:15:00Z,
PLAT-1899,june-platform,Improve queue drain logging,done,,closed,release-ops,P3,2026-06-01T17:15:00Z,
PLAT-1900,june-platform,Refresh dashboard loading state,in-progress,,open,product-ops,P3,2026-06-02T08:15:00Z,
PLAT-1901,june-platform,Update account settings empty state,done,,closed,db-reliability,P3,2026-06-03T09:15:00Z,
PLAT-1902,june-platform,Normalize retry header naming,done,,closed,backend-platform,P3,2026-06-01T10:15:00Z,
PLAT-1903,june-platform,Approve telemetry banner copy for release candidate,blocked,legal-review,open,privacy-legal,P2,2026-06-02T16:30:00Z,Telemetry copy awaiting privacy/legal review
PLAT-1904,june-platform,Add mobile breakpoint for audit table,done,,closed,frontend-platform,P3,2026-06-03T12:15:00Z,
PLAT-1905,june-platform,Wire telemetry sample rate config,in-progress,,open,release-ops,P3,2026-06-01T13:15:00Z,
PLAT-1906,june-platform,Clean up deprecated metrics labels,done,,closed,product-ops,P3,2026-06-02T14:15:00Z,
PLAT-1907,june-platform,Add tooltip for release filter,done,,closed,db-reliability,P3,2026-06-03T15:15:00Z,
PLAT-1908,june-platform,Update stale schema fixture,done,,closed,backend-platform,P3,2026-06-01T16:15:00Z,
PLAT-1909,june-platform,Improve queue drain logging,done,,closed,qa-infra,P3,2026-06-02T17:15:00Z,
PLAT-1910,june-platform,Refresh dashboard loading state,in-progress,,open,frontend-platform,P3,2026-06-03T08:15:00Z,
PLAT-1911,june-platform,Update account settings empty state,done,,closed,release-ops,P3,2026-06-01T09:15:00Z,
PLAT-1912,june-platform,Normalize retry header naming,done,,closed,product-ops,P3,2026-06-02T10:15:00Z,
PLAT-1913,june-platform,Document search pagination behavior,done,,closed,db-reliability,P3,2026-06-03T11:15:00Z,
PLAT-1914,june-platform,Add mobile breakpoint for audit table,done,,closed,backend-platform,P3,2026-06-01T12:15:00Z,
PLAT-1915,june-platform,Wire telemetry sample rate config,in-progress,,open,qa-infra,P3,2026-06-02T13:15:00Z,
PLAT-1916,june-platform,Fix migration rollback test for billing index change,blocked,failing-test,open,db-reliability,P1,2026-06-02T16:30:00Z,Rollback test fails on billing index migration
PLAT-1917,june-platform,Add tooltip for release filter,done,,closed,release-ops,P3,2026-06-01T15:15:00Z,
PLAT-1918,june-platform,Update stale schema fixture,done,,closed,product-ops,P3,2026-06-02T16:15:00Z,
PLAT-1919,june-platform,Improve queue drain logging,done,,closed,db-reliability,P3,2026-06-03T17:15:00Z,
PLAT-1920,june-platform,Refresh dashboard loading state,in-progress,,open,backend-platform,P3,2026-06-01T08:15:00Z,
PLAT-1921,june-platform,Update account settings empty state,done,,closed,qa-infra,P3,2026-06-02T09:15:00Z,
PLAT-1922,june-platform,Normalize retry header naming,done,,closed,frontend-platform,P3,2026-06-03T10:15:00Z,
PLAT-1923,june-platform,Document search pagination behavior,done,,closed,release-ops,P3,2026-06-01T11:15:00Z,
PLAT-1924,june-platform,Add mobile breakpoint for audit table,done,,closed,product-ops,P3,2026-06-02T12:15:00Z,
PLAT-1925,june-platform,Wire telemetry sample rate config,in-progress,,open,db-reliability,P3,2026-06-03T13:15:00Z,
PLAT-1926,june-platform,Clean up deprecated metrics labels,done,,closed,backend-platform,P3,2026-06-01T14:15:00Z,
PLAT-1927,june-platform,Add tooltip for release filter,done,,closed,qa-infra,P3,2026-06-02T15:15:00Z,
PLAT-1928,june-platform,Update stale schema fixture,done,,closed,frontend-platform,P3,2026-06-03T16:15:00Z,
PLAT-1929,june-platform,Improve queue drain logging,done,,closed,release-ops,P3,2026-06-01T17:15:00Z,
PLAT-1930,june-platform,Refresh dashboard loading state,in-progress,,open,product-ops,P3,2026-06-02T08:15:00Z,
PLAT-1931,june-platform,Finalize release note language for security posture change,blocked,security-copy,open,security-review,P2,2026-06-02T16:30:00Z,Security wording unresolved in release notes
PLAT-1932,june-platform,Normalize retry header naming,done,,closed,backend-platform,P3,2026-06-01T10:15:00Z,
PLAT-1933,june-platform,Document search pagination behavior,done,,closed,qa-infra,P3,2026-06-02T11:15:00Z,
PLAT-1934,june-platform,Add mobile breakpoint for audit table,done,,closed,frontend-platform,P3,2026-06-03T12:15:00Z,
PLAT-1935,june-platform,Wire telemetry sample rate config,in-progress,,open,release-ops,P3,2026-06-01T13:15:00Z,
PLAT-1936,june-platform,Clean up deprecated metrics labels,done,,closed,product-ops,P3,2026-06-02T14:15:00Z,
PLAT-1937,june-platform,Add tooltip for release filter,done,,closed,db-reliability,P3,2026-06-03T15:15:00Z,
PLAT-1938,june-platform,Update stale schema fixture,done,,closed,backend-platform,P3,2026-06-01T16:15:00Z,
PLAT-1939,june-platform,Improve queue drain logging,done,,closed,qa-infra,P3,2026-06-02T17:15:00Z,
PLAT-1940,june-platform,Refresh dashboard loading state,in-progress,,open,frontend-platform,P3,2026-06-03T08:15:00Z,
PLAT-1941,june-platform,Update account settings empty state,done,,closed,release-ops,P3,2026-06-01T09:15:00Z,
PLAT-1942,june-platform,Normalize retry header naming,done,,closed,product-ops,P3,2026-06-02T10:15:00Z,
PLAT-1943,june-platform,Document search pagination behavior,done,,closed,db-reliability,P3,2026-06-03T11:15:00Z,
PLAT-1944,june-platform,Add mobile breakpoint for audit table,done,,closed,backend-platform,P3,2026-06-01T12:15:00Z,
PLAT-1945,june-platform,Wire telemetry sample rate config,in-progress,,open,qa-infra,P3,2026-06-02T13:15:00Z,
PLAT-1946,june-platform,Clean up deprecated metrics labels,done,,closed,frontend-platform,P3,2026-06-03T14:15:00Z,
PLAT-1947,june-platform,Add tooltip for release filter,done,,closed,release-ops,P3,2026-06-01T15:15:00Z,
PLAT-1948,june-platform,Update stale schema fixture,done,dependency-signoff,resolved,backend-platform,P2,2026-06-02T11:10:00Z,Resolved during earlier triage pass
PLAT-1949,june-platform,Improve queue drain logging,done,,closed,db-reliability,P3,2026-06-03T17:15:00Z,
PLAT-1950,june-platform,Refresh dashboard loading state,in-progress,,open,backend-platform,P3,2026-06-01T08:15:00Z,
PLAT-1951,june-platform,Update account settings empty state,done,,closed,qa-infra,P3,2026-06-02T09:15:00Z,
PLAT-1952,june-platform,Normalize retry header naming,done,,closed,frontend-platform,P3,2026-06-03T10:15:00Z,
PLAT-1953,june-platform,Document search pagination behavior,done,,closed,release-ops,P3,2026-06-01T11:15:00Z,
PLAT-1954,june-platform,Add mobile breakpoint for audit table,done,,closed,product-ops,P3,2026-06-02T12:15:00Z,
PLAT-1955,june-platform,Wire telemetry sample rate config,in-progress,,open,db-reliability,P3,2026-06-03T13:15:00Z,
PLAT-1956,june-platform,Clean up deprecated metrics labels,done,,closed,backend-platform,P3,2026-06-01T14:15:00Z,
PLAT-1957,june-platform,Add tooltip for release filter,done,,closed,qa-infra,P3,2026-06-02T15:15:00Z,
PLAT-1958,june-platform,Update stale schema fixture,done,,closed,frontend-platform,P3,2026-06-03T16:15:00Z,
PLAT-1959,june-platform,Improve queue drain logging,done,,closed,release-ops,P3,2026-06-01T17:15:00Z,
PLAT-1960,june-platform,Refresh dashboard loading state,in-progress,,open,product-ops,P3,2026-06-02T08:15:00Z,
